Status de compra,Fecha de compra,Nombre activo,Símbolo activo,Categoría activo,Aporte en dólares,Acciones compradas
completada,2023-11-27,SPDR S&P 500 ETF Trust,SPY,etf,"1,00","0,002197377"
completada,2024-01-23,NVIDIA Corp,NVDA,stock,"1,06","0,001783046"
completada,2024-01-24,Amazon.com Inc,AMZN,stock,"1,00","0,006346063"
completada,2024-01-24,SPDR S&P 500 ETF Trust,SPY,etf,"1,00","0,002052637"
completada,2024-01-24,Tesla Inc,TSLA,stock,"1,00","0,004782537"
completada,2024-01-24,Tesla Inc,TSLA,stock,"1,00","0,004781348"
completada,2024-03-14,Tesla Inc,TSLA,stock,"10,00","0,06189421"
completada,2024-03-14,NVIDIA Corp,NVDA,stock,"10,00","0,011338459"
completada,2024-03-14,SPDR S&P 500 ETF Trust,SPY,etf,"33,93","0,065984971"
completada,2024-03-14,Apple Inc,AAPL,stock,"30,00","0,173354289"
completada,2024-03-14,Meta Platforms Inc,META,stock,"30,00","0,060911232"
completada,2024-03-14,Microsoft Corp,MSFT,stock,"30,00","0,07046819"
completada,2024-03-14,Alphabet Inc,GOOG,stock,"30,00","0,207701574"
completada,2024-03-14,Berkshire Hathaway Inc,BRK.B,stock,"30,00","0,073895993"
completada,2024-03-14,Tesla Inc,TSLA,stock,"20,00","0,124266825"
completada,2024-03-14,NVIDIA Corp,NVDA,stock,"20,00","0,02277842"
completada,2024-03-14,Amazon.com Inc,AMZN,stock,"30,00","0,167758963"
completada,2024-03-15,Microsoft Corp,MSFT,stock,"10,00","0,024065882"
completada,2024-03-15,Alphabet Inc,GOOG,stock,"10,00","0,070562666"
completada,2024-03-15,Meta Platforms Inc,META,stock,"10,00","0,020593759"
completada,2024-03-15,Apple Inc,AAPL,stock,"10,00","0,058500742"
completada,2024-03-15,Amazon.com Inc,AMZN,stock,"20,00","0,114740743"
completada,2024-03-18,NVIDIA Corp,NVDA,stock,"10,00","0,011304212"
completada,2024-03-19,NVIDIA Corp,NVDA,stock,"10,00","0,011636702"
completada,2024-03-19,Tesla Inc,TSLA,stock,"10,00","0,058955311"
completada,2024-03-19,Alphabet Inc,GOOG,stock,"10,00","0,067806723"
completada,2024-03-19,Advanced Micro Devices Inc,AMD,stock,"30,00","0,16382342"
completada,2024-03-20,NVIDIA Corp,NVDA,stock,"10,00","0,011294177"
completada,2024-03-21,Advanced Micro Devices Inc,AMD,stock,"10,00","0,055821015"
completada,2024-03-21,Apple Inc,AAPL,stock,"10,00","0,057948842"
completada,2024-03-22,Atlassian Corp,TEAM,stock,"30,00","0,152710613"
completada,2024-03-22,Tesla Inc,TSLA,stock,"10,00","0,059121222"
completada,2024-03-22,Atlassian Corp,TEAM,stock,"10,00","0,052156134"
completada,2024-03-26,NVIDIA Corp,NVDA,stock,"30,00","0,031702687"
completada,2024-03-26,Dell Technologies Inc,DELL,stock,"30,00","0,257378174"
completada,2024-03-26,Tesla Inc,TSLA,stock,"30,00","0,167969362"
completada,2024-03-27,NVIDIA Corp,NVDA,stock,"10,00","0,010945541"
completada,2024-03-27,Dell Technologies Inc,DELL,stock,"10,00","0,087594821"
completada,2024-03-27,Meta Platforms Inc,META,stock,"10,00","0,020242013"
completada,2024-03-27,Dell Technologies Inc,DELL,stock,"10,00","0,089597706"
completada,2024-03-27,NVIDIA Corp,NVDA,stock,"10,00","0,011181604"
completada,2024-04-01,Tesla Inc,TSLA,stock,"10,00","0,057220677"
completada,2024-04-01,Tesla Inc,TSLA,stock,"10,00","0,058708185"
completada,2024-04-01,NVIDIA Corp,NVDA,stock,"11,00","0,012252417"
completada,2024-04-02,Apple Inc,AAPL,stock,"10,00","0,059222059"
completada,2024-04-02,Advanced Micro Devices Inc,AMD,stock,"10,00","0,056153906"
completada,2024-04-02,Tesla Inc,TSLA,stock,"10,00","0,060983046"
completada,2024-04-02,Amazon.com Inc,AMZN,stock,"10,00","0,055963467"
completada,2024-04-02,Dell Technologies Inc,DELL,stock,"10,00","0,086296168"
completada,2024-04-02,NVIDIA Corp,NVDA,stock,"11,00","0,012489043"
completada,2024-04-04,Avis Budget Group Inc,CAR,stock,"30,00","0,241643173"
completada,2024-04-04,Advanced Micro Devices Inc,AMD,stock,"20,00","0,112326736"
completada,2024-04-04,SPDR Gold Shares,GLD,etf,"50,00","0,23531848"
completada,2024-04-04,NVIDIA Corp,NVDA,stock,"11,00","0,01243902"
completada,2024-04-04,Advanced Micro Devices Inc,AMD,stock,"10,00","0,057450133"
completada,2024-04-04,Dell Technologies Inc,DELL,stock,"20,00","0,154228165"
completada,2024-04-04,Advanced Micro Devices Inc,AMD,stock,"10,00","0,059042333"
completada,2024-04-04,Tesla Inc,TSLA,stock,"10,00","0,058250617"
completada,2024-04-04,Avis Budget Group Inc,CAR,stock,"10,00","0,082832198"
completada,2024-04-05,Alphabet Inc,GOOG,stock,"20,00","0,129359412"
completada,2024-04-05,Tesla Inc,TSLA,stock,"10,00","0,060167023"
completada,2024-04-08,Dell Technologies Inc,DELL,stock,"10,00","0,078819597"
completada,2024-04-09,NVIDIA Corp,NVDA,stock,"10,00","0,011511665"
completada,2024-04-09,Dell Technologies Inc,DELL,stock,"10,00","0,08053475"
completada,2024-04-09,NVIDIA Corp,NVDA,stock,"11,00","0,013058084"
completada,2024-04-09,Dell Technologies Inc,DELL,stock,"10,00","0,082584566"
completada,2024-04-09,Meta Platforms Inc,META,stock,"10,00","0,019677137"
completada,2024-04-09,Tesla Inc,TSLA,stock,"10,00","0,057112832"
