Status de venta,Fecha de venta,Nombre activo,Símbolo activo,Categoría activo,Rescate en dólares,Acciones vendidas
completada,2024-01-23,SPDR S&P 500 ETF Trust,SPY,etf,"1,06","0,002197377"
completada,2024-01-24,NVIDIA Corp,NVDA,stock,"1,11","0,001783046"
completada,2024-03-15,Amazon.com Inc,AMZN,stock,10,"0,057270489"
completada,2024-03-15,NVIDIA Corp,NVDA,stock,10,"0,011213403"
completada,2024-03-18,Apple Inc,AAPL,stock,10,"0,056628349"
completada,2024-03-18,Alphabet Inc,GOOG,stock,20,"0,132634791"
completada,2024-03-18,NVIDIA Corp,NVDA,stock,10,"0,01094092"
completada,2024-03-18,Tesla Inc,TSLA,stock,10,"0,059477786"
completada,2024-03-18,Tesla Inc,TSLA,stock,10,"0,057623603"
completada,2024-03-18,Meta Platforms Inc,META,stock,10,"0,020240867"
completada,2024-03-19,SPDR S&P 500 ETF Trust,SPY,etf,"35,06","0,068037608"
completada,2024-03-20,NVIDIA Corp,NVDA,stock,10,"0,011075915"
completada,2024-03-20,Berkshire Hathaway Inc,BRK.B,stock,10,"0,024147007"
completada,2024-03-20,Tesla Inc,TSLA,stock,10,"0,057750058"
completada,2024-03-20,Microsoft Corp,MSFT,stock,10,"0,023524984"
completada,2024-03-20,Meta Platforms Inc,META,stock,10,"0,019789832"
completada,2024-03-20,Amazon.com Inc,AMZN,stock,10,"0,056198719"
completada,2024-03-21,NVIDIA Corp,NVDA,stock,10,"0,010926096"
completada,2024-03-21,Alphabet Inc,GOOG,stock,10,"0,066348196"
completada,2024-03-22,NVIDIA Corp,NVDA,stock,10,"0,010686273"
completada,2024-03-25,NVIDIA Corp,NVDA,stock,10,"0,010369572"
completada,2024-03-25,Tesla Inc,TSLA,stock,10,"0,057887121"
completada,2024-03-26,Tesla Inc,TSLA,stock,10,"0,054743527"
completada,2024-03-28,Dell Technologies Inc,DELL,stock,10,"0,087943013"
completada,2024-03-28,Advanced Micro Devices Inc,AMD,stock,10,"0,054620931"
completada,2024-03-28,Atlassian Corp,TEAM,stock,10,"0,051156129"
completada,2024-04-01,Amazon.com Inc,AMZN,stock,10,"0,054671697"
completada,2024-04-01,Dell Technologies Inc,DELL,stock,10,"0,085822177"
completada,2024-04-01,Alphabet Inc,GOOG,stock,10,"0,064250836"
completada,2024-04-01,NVIDIA Corp,NVDA,stock,10,"0,010869566"
completada,2024-04-01,Dell Technologies Inc,DELL,stock,10,"0,084210527"
completada,2024-04-02,Berkshire Hathaway Inc,BRK.B,stock,"20,92","0,049748986"
completada,2024-04-03,Dell Technologies Inc,DELL,stock,"9,99","0,08291874"
completada,2024-04-03,Meta Platforms Inc,META,stock,10,"0,019838515"
completada,2024-04-03,NVIDIA Corp,NVDA,stock,10,"0,011077878"
completada,2024-04-03,Advanced Micro Devices Inc,AMD,stock,10,"0,055011553"
completada,2024-04-03,Tesla Inc,TSLA,stock,10,"0,059797884"
completada,2024-04-03,Dell Technologies Inc,DELL,stock,10,"0,080762398"
completada,2024-04-03,Amazon.com Inc,AMZN,stock,10,"0,054821556"
completada,2024-04-03,Dell Technologies Inc,DELL,stock,10,"0,077387402"
completada,2024-04-04,Meta Platforms Inc,META,stock,10,"0,019207499"
completada,2024-04-04,Dell Technologies Inc,DELL,stock,"2,89","0,021822612"
completada,2024-04-04,Microsoft Corp,MSFT,stock,"30,29","0,071009088"
completada,2024-04-04,Tesla Inc,TSLA,stock,10,"0,058554866"
completada,2024-04-04,Tesla Inc,TSLA,stock,10,"0,057064598"
completada,2024-04-05,SPDR Gold Shares,GLD,etf,10,"0,046557103"
completada,2024-04-05,Atlassian Corp,TEAM,stock,"30,59","0,153710618"
completada,2024-04-05,Amazon.com Inc,AMZN,stock,"0,1","0,000537057"
